Record_Type|State_Code|Station_Id|Travel_Dir|Travel_Lane|Year_Record|F_System|Num_Lanes|Sample_Type_Volume|Num_Lanes_Volume|Method_Volume|Sample_Type_Class|Num_Lanes_Class|Method_Class|Algorithm_Volume|Num_Classes|Sample_Type_Truck|Num_Lanes_Truck|Method_Truck|Calibration|Data_Retrieval|Type_Sensor_1|Type_Sensor_2|Primary_Purpose|LRS_Id|LRS_Point|Latitude|Longitude|SHRP_Id|Prev_Station_Id|Year_Established|Year_Discontinued|County_Code|Is_Sample|Sample_Id|NHS|Posted_Route_Signing|Posted_Signed_Route|Con_Route_Signing|Con_Signed_Route|Station_Location
S|01|000002|3|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|120142|34624993| 86307843|    |      |38|  |071|N|            |Y|2|00000002|0|        |AL2 btw CR5 and Willow St                         
S|01|000004|3|1|18|1U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IN0000200000|159641|33606756| 86266015|    |      |62|  |115|Y|C8B3A471F0F1|Y|1|00000020|0|        |I-20 Between Exits 153 (Mtn. Olive Dr             
S|01|000004|7|1|18|1U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IN0000200000|159641|33606756| 86266015|    |      |62|  |115|Y|C8B3A471F0F1|Y|1|00000020|0|        |I-20 Between Exits 153 (Mtn. Olive Dr             
S|01|000006|1|1|18|4R|1|T|1|3| |0|3|G|15| |0|0| |2|L|P|P|AL0000410000|118115|32307687| 86984287|    |      |61|  |047|N|            |N|3|00000041|0|        |AL41 btw CR139 and CR144                          
S|01|000006|5|1|18|4R|1|T|1|3| |0|3|G|15| |0|0| |2|L|P|P|AL0000410000|118115|32307687| 86984287|    |      |61|  |047|N|            |N|3|00000041|0|        |AL41 btw CR139 and CR144                          
S|01|000010|1|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000130000|246930|31077766| 88022592|    |      |38|  |097|N|            |Y|3|00000013|0|        |AL13 south of Williamson St                       
S|01|000011|5|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000210000|177088|32724703| 86237391|    |      |55|  |051|N|            |Y|3|00000021|0|        |AL21 north of CR428                               
S|01|000012|7|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|156900|34729172| 87845799|    |      |61|  |033|N|            |Y|2|00000002|0|        |AL2 east of Colbert Steam Plant Rd                
S|01|000024|3|1|18|4U|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000160000|521990|30638466| 87801841|    |      |61|  |003|N|            |N|3|00000016|0|        |AL16 (US90) north of Gus Moore Rd                 
S|01|000004|3|3|18|1U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IN0000200000|159641|33606756| 86266015|    |      |62|  |115|Y|C8B3A471F0F1|Y|1|00000020|0|        |I-20 Between Exits 153 (Mtn. Olive Dr             
