,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
33059,67424891,b7e8efa4-e19c-484f-995b-874e35792f51,Fri Jan 01 2021 15:01:39 GMT-0800 (PST),2021-01-01,2021-01-01 15:01:39 UTC,UTC,739179,humbird,,2021-01-01 23:02:14 UTC,2021-01-02 04:49:07 UTC,research,,https://www.inaturalist.org/observations/67424891,https://static.inaturalist.org/photos/108932911/medium.jpg,,,,1,0,False,3.0,"Presidio of San Francisco, San Francisco, CA, US",37.8027497525,-122.4533192959,8.0,,,,8.0,,open,False,,,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,,
33060,67429551,5ddc63a3-33ec-458b-81bf-78ab56d23d4d,2018/07/03 12:40 PM PDT,2018-07-03,2018-07-03 19:40:00 UTC,Pacific Time (US & Canada),1881456,onyxrat,,2021-01-02 00:34:46 UTC,2021-01-04 02:37:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67429551,https://inaturalist-open-data.s3.amazonaws.com/photos/108939779/medium.jpeg,,,,2,0,False,,"Sol Duc Trail, Olympic National Park, WA, USA",47.9530803455,-123.8326050195,115.0,,,,115.0,,,False,,,Western Bunchberry,Cornus unalaschkensis,Western Bunchberry,Plantae,1096279,,
33061,67429556,d061cc15-af81-4dee-8274-ac822de97861,2018/07/03 11:48 AM PDT,2018-07-03,2018-07-03 18:48:00 UTC,Pacific Time (US & Canada),1881456,onyxrat,,2021-01-02 00:34:48 UTC,2021-01-09 19:17:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67429556,https://inaturalist-open-data.s3.amazonaws.com/photos/108939897/medium.jpg,,,,2,0,False,,"Sol Duc Trail, Olympic National Park, WA, USA",47.951705516,-123.8256868109,147.0,,,,147.0,,,False,,,Western Bunchberry,Cornus unalaschkensis,Western Bunchberry,Plantae,1096279,,
33062,67436050,bd2fdd1a-3273-49f7-8865-fd6f96c380cb,Fri Jan 01 2021 14:53:13 GMT-0800 (PST),2021-01-01,2021-01-01 22:53:13 UTC,Pacific Time (US & Canada),1811580,wreynier,,2021-01-02 02:47:49 UTC,2021-01-05 21:44:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67436050,https://inaturalist-open-data.s3.amazonaws.com/photos/108952917/medium.jpg,,,,1,0,False,3.0,"Columbia River Gorge National Scenic Area, Centerville, WA, US",45.6502505006,-121.0994813503,73.0,,,,73.0,,open,False,,,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,,
33063,67447143,f66ffdcb-9ae4-49d7-aa15-66dabf6ee8b7,2021-01-01 3:46:43 PM EST,2021-01-01,2021-01-01 20:46:43 UTC,Eastern Time (US & Canada),3057009,prorenatura,,2021-01-02 08:57:26 UTC,2021-01-02 12:30:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67447143,https://inaturalist-open-data.s3.amazonaws.com/photos/108973953/medium.jpeg,,,,1,0,False,2.0,"West Kill, NY 12492, USA",42.1731879,-74.3541230997,,,,,,,,False,gps,gps,Canadian bunchberry,Cornus canadensis,Canadian bunchberry,Plantae,47192,,
33064,67473444,521faf7a-c0cc-4fcf-94e3-7bdb5e6642c5,Sun Jun 24 2018 15:03:06 GMT-0700 (PDT),2018-06-24,2018-06-24 22:03:06 UTC,Pacific Time (US & Canada),3923785,nepokroeff,Nick Nepokroeff,2021-01-02 20:22:06 UTC,2023-10-06 19:27:26 UTC,research,CC0,https://www.inaturalist.org/observations/67473444,https://inaturalist-open-data.s3.amazonaws.com/photos/109021640/medium.jpg,,,,1,0,False,3.0,"Mt. Hood National Forest, Rhododendron, OR, US",45.3695216667,-121.8187416667,6.0,,,,6.0,,,False,,,Western Bunchberry,Cornus unalaschkensis,Western Bunchberry,Plantae,1096279,,
33065,67477562,cf878fa2-0f94-492f-ad7e-ff8cb912e50e,2021/01/02 12:56 PM EST,2021-01-02,2021-01-02 17:56:00 UTC,Eastern Time (US & Canada),284003,ken-potter,Ken Potter,2021-01-02 21:35:01 UTC,2021-01-02 21:36:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67477562,https://inaturalist-open-data.s3.amazonaws.com/photos/109020387/medium.jpeg,,,"Kelly Rd from Hell, MI at Kelly and Patterson Lake Rd to M36",1,0,False,,"Livingston County, MI, USA",42.460025021,-83.9959602531,126.0,,,,126.0,,open,False,,,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,,
33066,67491862,b85977f5-dcc6-45e8-bb75-fce713aee417,2020/10/09 ,2020-10-09,,Eastern Time (US & Canada),1478338,charleshappell,Charles and Kathy Appell,2021-01-03 02:13:48 UTC,2021-02-03 15:36:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67491862,https://inaturalist-open-data.s3.amazonaws.com/photos/109055603/medium.jpg,,,,1,0,False,,"Grand Island, NY, USA",43.0593129675,-78.9771189637,15.0,,,,15.0,,,False,,,gray dogwood,Cornus racemosa,gray dogwood,Plantae,320160,,
33067,67500295,01195477-e35e-4d46-a3c9-e1a5b75c9386,2020/08/17 3:24 PM PDT,2020-08-17,2020-08-17 22:24:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2021-01-03 05:55:09 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/67500295,https://inaturalist-open-data.s3.amazonaws.com/photos/109070610/medium.jpeg,,,,1,0,False,,"Gunnison County, CO, USA",39.0546428448,-107.0844597683,71.0,,,,71.0,,open,False,,,red osier dogwood,Cornus sericea,red osier dogwood,Plantae,53387,,
33068,67502849,a3d8a36a-598b-44d2-b752-abb53585afc2,2021-01-02 12:11:39 PM AKST,2021-01-02,2021-01-02 21:11:39 UTC,Alaska,25990,paul_norwood,Paul Norwood,2021-01-03 07:26:28 UTC,2021-01-04 07:31:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67502849,https://inaturalist-open-data.s3.amazonaws.com/photos/109076248/medium.jpeg,,,,2,0,False,2.0,"Sitka County, US-AK, US",57.13510851,-135.3664331,6.0,,,,6.0,,,False,,,Western Bunchberry,Cornus unalaschkensis,Western Bunchberry,Plantae,1096279,,
